prd_code,prd_name,rate,rate_script,week_year_rate,month_year_rate,three_month_year_rate,half_year_year_rate,unit_rate,estab_ratio,risk_level,curr_type,pfirst_amt,sold_out,prd_labels,fetched_at
WPEK25M0611A,上银理财易享利-180天持有期11号A,,,0,1.81,0,0,,2.8,2,CNY,1.0,1,,2026-03-16 19:55:49.283937
WPEK25M0702A,上银理财易享利-200天持有期2号A,4.02,成立以来年化,0,1.65,2.16,3.67,,4.02,2,CNY,1.0,0,,2026-03-16 19:55:49.284117
WPEK25M0703A,上银理财易享利-200天持有期3号A,,,0,2.13,5.42,4.98,,4.11,2,CNY,1.0,1,,2026-03-16 19:55:49.284298
WPEK25M0704A,上银理财易享利-200天持有期4号A,,,0,2.04,5.35,4.65,,3.85,2,CNY,1.0,1,,2026-03-16 19:55:49.284534
WPEK25M0705A,上银理财易享利-200天持有期5号A,,,0,2.23,6.51,4.78,,3.67,2,CNY,1.0,1,,2026-03-16 19:55:49.284715
WPEK25M0901A,上银理财易享利-270天持有期1号A,,,0,1.98,3.12,2.46,,3.29,2,CNY,1.0,0,,2026-03-16 19:55:49.284894
WPEK25M0902A,上银理财易享利-270天持有期2号A,,,0,2.13,5.28,4.81,,4.03,2,CNY,1.0,1,,2026-03-16 19:55:49.285078
WPEK25M0903A,上银理财易享利-270天持有期3号A,,,0,1.67,6.19,5.05,,3.99,2,CNY,1.0,1,,2026-03-16 19:55:49.285255
WPEK26D1401A,上银理财易享利-14天持有期1号A,,,0,1.68,0,0,,1.67,2,CNY,0.01,1,,2026-03-16 19:55:49.285487
WPEK26D1402A,上银理财易享利-14天持有期2号A,,,0,0,0,0,,0,2,CNY,0.01,1,,2026-03-16 19:55:49.285671
WPEK26D1403A,上银理财易享利-14天持有期3号A,,,0,0,0,0,,0,2,CNY,0.01,1,,2026-03-16 19:55:49.285850
WPEK26D1404A,上银理财易享利-14天持有期4号A,,,0,0,0,0,,0,2,CNY,0.01,1,,2026-03-16 19:55:49.286029
WPEK26D2106A,上银理财易享利-21天持有期6号A,,,0,0,0,0,,0,2,CNY,0.01,1,,2026-03-16 19:55:49.286216
WPEK26D2809A,上银理财易享利-28天持有期9号A,,,0,0,0,0,,0,2,CNY,0.01,1,,2026-03-16 19:55:49.286406
WPEK26M0318A,上银理财易享利-90天持有期18号A,,,0,1.88,0,0,,1.92,2,CNY,1.0,1,,2026-03-16 19:55:49.286587
WPEK26M0319A,上银理财易享利-90天持有期19号A,,,0,0,0,0,,0,2,CNY,1.0,1,,2026-03-16 19:55:49.286765
WPEK26M0320A,上银理财易享利-90天持有期20号A,,,0,0,0,0,,0,2,CNY,1.0,1,,2026-03-16 19:55:49.286942
WPEK26M0612A,上银理财易享利-180天持有期12号A,,,0,0,0,0,,0,2,CNY,1.0,1,,2026-03-16 19:55:49.287123
WPEK26M0613A,上银理财易享利-180天持有期13号A,,,0,0,0,0,,0,2,CNY,1.0,1,,2026-03-16 19:55:49.287307
WPEK26M0614A,上银理财易享利-180天持有期14号A,,,0,0,0,0,,0,2,CNY,1.0,1,,2026-03-16 19:55:49.287485
WPEK25M0403A,上银理财易享利-118天持有期3号A,,,0,1.49,1.95,2.17,,2.94,2,CNY,1.0,0,,2026-03-16 19:55:49.287664
WPEK25M0404A,上银理财易享利-118天持有期4号A,,,0,1.97,5.51,5.13,,4.12,2,CNY,1.0,1,,2026-03-16 19:55:49.287850
WPEK25M0405A,上银理财易享利-118天持有期5号A,,,0,2.34,5.37,4.8,,3.95,2,CNY,1.0,1,,2026-03-16 19:55:49.288032
WPEK25M0406A,上银理财易享利-118天持有期6号A,,,0,2.18,6.46,4.7,,3.68,2,CNY,1.0,1,,2026-03-16 19:55:49.288215
WPEK25M0407A,上银理财易享利-118天持有期7号A,,,0,2,6.51,4.74,,3.68,2,CNY,1.0,1,,2026-03-16 19:55:49.288489
WPEK25M0605A,上银理财易享利-180天持有期5号A,3.42,成立以来年化,0,1.68,2.36,1.97,,3.42,2,CNY,1.0,0,,2026-03-16 19:55:49.288673
WPED25M0101A,上银理财易享利日申月赎1号A,,,0,2.12,3.74,0,,4.74,2,CNY,0.01,1,,2026-03-16 19:55:49.288852
WPED25M0301A,上银理财易享利日申季赎1号A,,,0,1.4,3.89,0,,4.07,2,CNY,1.0,1,,2026-03-16 19:55:49.289031
WPEK23D0701A,上银理财易享利-7天持有期1号,1.95,近3月年化,0,1.67,1.95,1.83,,2.38,2,CNY,1.0,0,,2026-03-16 19:55:49.289211
WPEK23D0702A,上银理财易享利-7天持有期2号-专享款,2.66,成立以来年化,0,1.66,2.09,1.96,,2.66,2,CNY,1.0,0,,2026-03-16 19:55:49.289467
WPEK23D0702B,上银理财易享利-7天持有期2号,2.32,成立以来年化,0,1.6,2.02,1.89,,2.32,2,CNY,1.0,0,,2026-03-16 19:55:49.289858
WPEK23D0703A,上银理财易享利-7天持有期3号,3.02,成立以来年化,0,1.64,1.83,1.68,,3.02,2,CNY,1.0,0,,2026-03-16 19:55:49.290299
WPEK23D2801A,上银理财易享利-28天持有期1号-代发工资款,2.57,成立以来年化,0,1.78,2.08,1.93,,2.57,2,CNY,1.0,0,,2026-03-16 19:55:49.290726
WPEK23D2802A,上银理财易享利-28天持有期2号,2.52,成立以来年化,0,1.69,1.93,1.92,,2.52,2,CNY,1.0,0,,2026-03-16 19:55:49.290923
WPEK23M0301A,上银理财易享利-90天持有期1号,2.01,近3月年化,0,1.66,2.01,1.68,,2.24,2,CNY,1.0,0,,2026-03-16 19:55:49.291109
WPEK23M0301B,上银理财易享利-90天持有期1号B,2.26,成立以来年化,0,1.79,2.15,1.83,,2.26,2,CNY,1.0,0,,2026-03-16 19:55:49.291293
WPEK23M0304A,上银理财易享利-90天持有期4号,3.11,成立以来年化,0,1.55,1.97,1.8,,3.11,2,CNY,1.0,0,,2026-03-16 19:55:49.291478
WPEK23M0601A,上银理财易享利-180天持有期1号,3.25,成立以来年化,0,1.59,2.19,1.99,,3.25,2,CNY,1.0,0,,2026-03-16 19:55:49.291662
WPEK23M0602A,上银理财易享利-180天持有期2号,2,近6月年化,0,1.54,2.35,2,,2.69,2,CNY,1.0,0,,2026-03-16 19:55:49.291841
WPEK23M0602B,上银理财易享利-180天持有期2号B,,,0,1.53,2.35,2,,2.11,2,CNY,1.0,0,,2026-03-16 19:55:49.292023
WPEK23M0603A,上银理财易享利-180天持有期3号,3.56,成立以来年化,0,1.56,2.3,2.05,,3.56,2,CNY,1.0,0,,2026-03-16 19:55:49.292206
WPEK23M0604A,上银理财易享利-180天持有期4号,3.78,成立以来年化,0,1.53,2.25,2.03,,3.78,2,CNY,1.0,0,,2026-03-16 19:55:49.292390
WPEK23M1201A,上银理财易享利-1年持有期1号,3.1,成立以来年化,0,-0.6,3.02,2.32,,3.1,2,CNY,1.0,0,,2026-03-16 19:55:49.292571
WPEK23M1201B,上银理财易享利-1年持有期1号B,2.26,成立以来年化,0,-0.57,3.06,2.37,,2.26,2,CNY,1.0,0,,2026-03-16 19:55:49.292754
WPEK23M1202A,上银理财易享利-1年持有期2号,3.37,成立以来年化,0,-0.19,2.95,2.35,,3.37,2,CNY,1.0,0,,2026-03-16 19:55:49.292931
WPEK23M1202B,上银理财易享利-1年持有期2号B,2.26,成立以来年化,0,-0.17,3,2.4,,2.26,2,CNY,1.0,0,,2026-03-16 19:55:49.293113
WPEK23M1203A,上银理财易享利-1年持有期3号,4.04,成立以来年化,0,0.36,2.22,2.91,,4.04,2,CNY,1.0,0,,2026-03-16 19:55:49.293294
WPEK23M1203B,上银理财易享利-1年持有期3号B,,,0,0.5,2.37,3.08,,3.74,2,CNY,1.0,0,,2026-03-16 19:55:49.293514
WPEK23M1204A,上银理财易享利-1年持有期4号,,,0,0.61,4.82,3.88,,4.16,2,CNY,1.0,1,,2026-03-16 19:55:49.293694
WPEK24D2101A,上银理财易享利-21天持有期1号A,2.72,成立以来年化,0,1.64,1.99,1.84,,2.72,2,CNY,1.0,0,,2026-03-16 19:55:49.293875
WPEK24D2803A,上银理财易享利-28天持有期3号A,2.83,成立以来年化,0,1.65,1.9,1.76,,2.83,2,CNY,1.0,0,,2026-03-16 19:55:49.294053
WPEK24M0201A,上银理财易享利-60天持有期1号A,2.7,成立以来年化,0,1.5,1.82,1.86,,2.7,2,CNY,1.0,0,,2026-03-16 19:55:49.294233
WPEK24M0305A,上银理财易享利-90天持有期5号A,2.54,成立以来年化,0,1.7,2.27,2.03,,2.54,2,CNY,1.0,0,,2026-03-16 19:55:49.294459
WPEK24M0306A,上银理财易享利-90天持有期6号A,,,0,1.72,2.37,2.1,,2.94,2,CNY,1.0,0,,2026-03-16 19:55:49.294640
WPEK24M0308A,上银理财易享利-90天持有期8号A,,,0,2.06,2.33,1.89,,2.76,2,CNY,1.0,0,,2026-03-16 19:55:49.294815
WPEK24M0309A,上银理财易享利-90天持有期9号A,2.55,成立以来年化,0,1.57,2.27,2.05,,2.55,2,CNY,1.0,0,,2026-03-16 19:55:49.294991
WPEK24M0401A,上银理财易享利-118天持有期1号A,2.7,成立以来年化,0,1.54,2.23,1.89,,2.7,2,CNY,1.0,0,,2026-03-16 19:55:49.295167
WPEK24M0401C,上银理财易享利-118天持有期1号C,1.86,成立以来年化,0,1.54,2.23,1.89,,1.86,2,CNY,1.0,0,,2026-03-16 19:55:49.295350
WPEK24M0402A,上银理财易享利-118天持有期2号A,3.88,成立以来年化,0,1.39,2.17,3.6,,3.88,2,CNY,1.0,0,,2026-03-16 19:55:49.295533
WPEK23M0301H,上银理财易享利-90天持有期1号-提升专款,2.15,近3月年化,0,1.78,2.15,1.83,,2.39,2,CNY,10000.0,0,,2026-03-16 19:55:49.295713
WPEK23M0302A,上银理财易享利-90天持有期2号,2.31,近3月年化,0,1.6,2.31,2.06,,2.69,2,CNY,1.0,0,,2026-03-16 19:55:49.295898
WPEK23M0302B,上银理财易享利-90天持有期2号B,,,0,1.6,2.31,2.06,,2.22,2,CNY,1.0,0,,2026-03-16 19:55:49.296082
WPEK23M0303A,上银理财易享利-90天持有期3号,2.44,近3月年化,0,1.94,2.44,1.95,,2.65,2,CNY,1.0,0,,2026-03-16 19:55:49.296267
WPEK23M0303B,上银理财易享利-90天持有期3号B,,,0,1.96,2.44,1.95,,2.02,2,CNY,1.0,0,,2026-03-16 19:55:49.296456
WPEK24M1202A,上银理财易享利-1年持有期6号A,,,0,1.82,6.33,5.35,,4.17,2,CNY,1.0,1,,2026-03-16 19:55:49.296643
WPEK24M1203A,上银理财易享利-1年持有期7号A,,,0,1.76,5.9,6,,4.35,2,CNY,1.0,1,,2026-03-16 19:55:49.296826
WPEK24M1203B,上银理财易享利-1年持有期7号B,,,0,1.81,5.95,6.06,,4.4,2,CNY,1.0,1,,2026-03-16 19:55:49.297010
WPEK25D0704A,上银理财易享利-7天持有期4号A,3.28,成立以来年化,0,1.77,1.83,1.64,,3.28,2,CNY,0.01,0,,2026-03-16 19:55:49.297196
WPEK25D0705A,上银理财易享利-7天持有期5号（北交打新）,3.55,成立以来年化,0,1.68,2.78,2.33,,3.55,2,CNY,0.01,0,,2026-03-16 19:55:49.297467
WPEK25D0706A,上银理财易享利-7天持有期6号A,,,0,2.06,5.6,5.59,,4.68,2,CNY,0.01,1,,2026-03-16 19:55:49.297825
WPEK25D0707A,上银理财易享利-7天持有期7号A,,,0,1.96,6.17,5.52,,4.65,2,CNY,0.01,1,,2026-03-16 19:55:49.298014
WPEK25D0708A,上银理财易享利-7天持有期8号A,4.4,成立以来年化,0,1.54,2.45,4.75,,4.4,2,CNY,0.01,0,,2026-03-16 19:55:49.298200
WPEK25D0709A,上银理财易享利-7天持有期9号A,,,0,1.95,5.26,5.36,,4.55,2,CNY,0.01,1,,2026-03-16 19:55:49.298385
WPEK25D0710A,上银理财易享利-7天持有期10号A,,,0,1.68,0,0,,1.67,2,CNY,0.01,1,,2026-03-16 19:55:49.298723
WPEK25D0711A,上银理财易享利-7天持有期11号A,,,0,0,0,0,,0,2,CNY,0.01,1,,2026-03-16 19:55:49.298910
WPEK25D2102A,上银理财易享利-21天持有期2号A,3.31,成立以来年化,0,1.57,2.07,1.86,,3.31,2,CNY,0.01,0,,2026-03-16 19:55:49.299088
WPEK25D2103A,上银理财易享利-21天持有期3号A,4.15,成立以来年化,0,1.54,2.29,3.99,,4.15,2,CNY,0.01,0,,2026-03-16 19:55:49.299265
WPEK25D2104A,上银理财易享利-21天持有期4号A,,,0,2.06,5.23,5.55,,4.7,2,CNY,0.01,1,,2026-03-16 19:55:49.299450
WPEK25D2105A,上银理财易享利-21天持有期5号A,,,0,1.9,3.5,0,,3.45,2,CNY,0.01,1,,2026-03-16 19:55:49.299629
WPEK25D2804A,上银理财易享利-28天持有期4号A,3.69,成立以来年化,0,1.48,1.8,1.83,,3.69,2,CNY,0.01,0,,2026-03-16 19:55:49.299805
WPEK25D2805A,上银理财易享利-28天持有期5号A,,,0,1.6,2.1,2.91,,3.38,2,CNY,0.01,0,,2026-03-16 19:55:49.299980
WPEK25D2806A,上银理财易享利-28天持有期6号A,,,0,1.97,5.13,5.15,,4.46,2,CNY,0.01,1,,2026-03-16 19:55:49.300157
WPEK25D2807A,上银理财易享利-28天持有期7号A,,,0,1.95,5.13,5.15,,4.45,2,CNY,0.01,1,,2026-03-16 19:55:49.300336
WPEK25D2808A,上银理财易享利-28天持有期8号A,,,0,1.88,0,0,,3.3,2,CNY,0.01,1,,2026-03-16 19:55:49.300519
WPEK25M0202A,上银理财易享利-60天持有期2号A,3.01,成立以来年化,0,1.6,1.91,1.68,,3.01,2,CNY,0.01,0,,2026-03-16 19:55:49.300693
WPEK25M0203A,上银理财易享利-60天持有期3号A,3.33,成立以来年化,0,1.54,1.97,2.98,,3.33,2,CNY,0.01,0,,2026-03-16 19:55:49.300867
WPEK25M0204A,上银理财易享利-60天持有期4号A,,,0,1.92,3.5,0,,3.46,2,CNY,0.01,1,,2026-03-16 19:55:49.301042
WPEK25M0205A,上银理财易享利-60天持有期5号A,,,0,1.92,0,0,,3.28,2,CNY,0.01,1,,2026-03-16 19:55:49.301217
WPEK25M0307A,上银理财易享利-90天持有期7号A,2.72,成立以来年化,0,1.89,2.19,1.85,,2.72,2,CNY,1.0,0,,2026-03-16 19:55:49.301395
WPEK25M0310A,上银理财易享利-90天持有期10号A,3.02,成立以来年化,0,1.59,2.35,2.01,,3.02,2,CNY,1.0,0,,2026-03-16 19:55:49.301574
WPAK24M0401A,上银理财稳添利01期-4个月开放,2.92,成立以来年化,0,2.64,2.38,2.25,,2.92,2,CNY,1.0,0,,2026-03-16 19:55:49.301747
WPAK25M0708A,上银理财稳添利08期-7个月开放,2.5,成立以来年化,0,1.81,2.45,2.5,,2.5,2,CNY,1.0,0,,2026-03-16 19:55:49.301925
WPAK25M1305A,上银理财稳添利12期-1年开放,2.74,成立以来年化,0,2.51,2.65,2.66,,2.74,2,CNY,1.0,0,,2026-03-16 19:55:49.302099
WPDK24M0301A,上银理财定鑫-90天持有1号（存款存单策略）,2.23,成立以来年化,0,1.6,1.61,1.66,,2.23,1,CNY,1.0,0,,2026-03-16 19:55:49.302273
WPWF26M13018A,上银理财美好稳健封闭13个月74期（司庆款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.302462
WPWF26M13018B,上银理财美好稳健封闭13个月74期（白金专享司庆款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.302639
WPWF26M06068C,上银理财美好稳健封闭7个月68期（专属款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.302813
WPWF26M06068A,上银理财美好稳健封闭7个月68期（司庆款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.302987
WPWF26M06068B,上银理财美好稳健封闭7个月68期（白金专享司庆款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.303162
WPWF26M13018C,上银理财美好稳健封闭13个月74期（新户专享司庆款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.303341
WPRM26Y02003,上银理财睿享利目标盈-2年21期（最低运作期377天）（司庆款）,,,0,0,0,0,,0,2,CNY,1.0,0,,2026-03-16 19:55:49.303525
WH2024105A,上银理财慧精灵5号,1.42,七日年化,1.42,1.46,1.47,1.48,0.3972,1.6,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.303707
WH2025106A,上银理财慧精灵6号,1.29,七日年化,1.29,1.35,1.37,1.38,0.3587,1.47,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.303891
WH2024101A,上银理财慧精灵1号,1.41,七日年化,1.41,1.43,1.45,1.45,0.3816,1.75,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.304077
WH2024102A,上银理财慧精灵2号,1.42,七日年化,1.42,1.43,1.44,1.44,0.3834,1.63,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.304261
WH2024103A,上银理财慧精灵3号,1.32,七日年化,1.32,1.37,1.4,1.4,0.3758,1.6,1,CNY,0.01,0,现金管理类,2026-03-16 19:55:49.304453
WH2024104A,上银理财慧精灵4号,1.32,七日年化,1.32,1.42,1.45,1.45,0.3838,1.59,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.304670
WH2025108A,上银理财慧精灵8号,1.37,七日年化,1.37,1.38,1.43,1.46,0.3784,1.5,1,CNY,0.01,0,现金管理类@!@支持快赎,2026-03-16 19:55:49.304862
WPBK24M0101A,上银理财聚宝盈-30天持有期ESG精选1号（北交打新）,4.02,成立以来年化,0,1.88,2.91,2.62,,4.02,2,CNY,1.0,1,,2026-03-16 19:55:49.305046
WPBK25M0605A,上银理财聚宝盈-180天持有期ESG社会责任1号,,,0,2.36,4.97,4.34,,4.81,2,CNY,1.0,1,,2026-03-16 19:55:49.305228
WPBK24M0102A,上银理财聚宝盈-30天持有期ESG精选2号,,,0,3.31,5.19,4.72,,4.95,2,CNY,1.0,1,,2026-03-16 19:55:49.305483
WPBK24M0201A,上银理财聚宝盈-60天持有期1号,,,0,3.19,5.77,5.01,,4.88,2,CNY,1.0,1,,2026-03-16 19:55:49.305683
WPBK24M0202A,上银理财聚宝盈-60天持有期2号,,,0,3.25,5.77,5.01,,4.9,2,CNY,1.0,1,,2026-03-16 19:55:49.305869
WPBK24M0301A,上银理财聚宝盈-90天持有期1号,,,0,3.17,5.44,4.87,,5.06,2,CNY,1.0,1,,2026-03-16 19:55:49.306052
WPBK24M0302A,上银理财聚宝盈-90天持有期2号,,,0,3.18,5.42,4.92,,5.14,2,CNY,1.0,1,,2026-03-16 19:55:49.306236
WPBK24M0401A,上银理财聚宝盈-120天持有期稳金1号,,,0,2.93,6.63,5.76,,5.39,2,CNY,1.0,1,,2026-03-16 19:55:49.306423
WPBK24M0402A,上银理财聚宝盈-120天持有期稳金2号,,,0,3.08,6.86,6.19,,5.8,2,CNY,1.0,1,,2026-03-16 19:55:49.306605
WPBK24M0501A,上银理财聚宝盈-150天持有期1号（北交所REITS打新）,,,0,2.32,8.73,7.64,,6.4,2,CNY,1.0,1,,2026-03-16 19:55:49.306786
WPBK24M0502A,上银理财聚宝盈-150天持有期2号,,,0,3.33,5.35,4.88,,5.12,2,CNY,1.0,1,,2026-03-16 19:55:49.306967
WPBK24M0601A,上银理财聚宝盈-180天持有期1号（黄金增强）,3.05,成立以来年化,0,2.36,3.95,3.09,,3.05,2,CNY,1.0,0,,2026-03-16 19:55:49.307148
WPBK24M0603A,上银理财聚宝盈-180天持有期科创先锋1号,,,0,3.13,5.77,5,,4.91,2,CNY,1.0,1,,2026-03-16 19:55:49.307333
WPBK24M0604A,上银理财聚宝盈-180天持有期科创先锋2号,,,0,3.14,5.78,5.01,,4.91,2,CNY,1.0,1,,2026-03-16 19:55:49.307517
WPBK24M0901A,上银理财聚宝盈-270天持有期1号（打新增强）,3.48,成立以来年化,0,2.15,3.88,3.23,,3.48,2,CNY,1.0,0,,2026-03-16 19:55:49.307698
WPBK24M1201A,上银理财聚宝盈-12个月持有期1号,,,0,3.2,5.07,4.73,,5.03,2,CNY,1.0,1,,2026-03-16 19:55:49.307879
WPBK24M1202A,上银理财聚宝盈-12个月持有期2号,,,0,3.25,5.77,5,,4.89,2,CNY,1.0,1,,2026-03-16 19:55:49.308060
WPBK25M0103A,上银理财聚宝盈-30天持有期3号,,,0,3.41,5.37,4.88,,4.92,2,CNY,0.01,1,,2026-03-16 19:55:49.308242
WPBK25M0303A,上银理财聚宝盈-90天持有期3号,,,0,2.84,5.18,4.52,,4.92,2,CNY,0.01,1,,2026-03-16 19:55:49.308431
WPBK25M0304A,上银理财聚宝盈-90天持有期4号A（打新增强）,,,0,2.3,5.06,4.75,,5.22,2,CNY,0.01,1,,2026-03-16 19:55:49.308612
WH2026107A,上银理财慧精灵7号,,,1.25,1.34,0,0,0.3532,1.33,1,CNY,0.01,0,支持快赎@!@现金管理类,2026-03-16 19:55:49.308793
WPFK25M1304A,上银理财添富盈04期-13个月开放,,,0,2.93,5.63,5.03,,5.03,2,CNY,1.0,1,,2026-03-16 19:55:49.308975
WPIK25M0101A,上银理财智选-1个月持有期1号,,,0,3.79,5.59,4.94,,4.83,2,CNY,0.01,1,,2026-03-16 19:55:49.309157
WPIK25M1501A,上银理财智选-15个月持有期1号,,,0,3.4,5.25,4.66,,4.54,2,CNY,0.01,1,,2026-03-16 19:55:49.309343
WPIK25M1201A,上银理财智选-12个月持有期1号,,,0,1.94,4.1,3.77,,3.96,2,CNY,0.01,1,,2026-03-16 19:55:49.309522
